age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,was_contacted_before,never_contacted_before,previously_successful,has_any_loan,is_married,is_weekday_mon_thu,actual,predicted,propensity_score
77,retired,married,university.degree,no,yes,no,telephone,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,0,1,1,1,1,1,1,0.9559596170199882
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0,1,0,1,1,1,1,0.9551437863096136
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9549637108744597
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0,1,1,0,1,1,1,0.9534295061370357
30,admin.,single,university.degree,no,no,no,cellular,may,tue,1,6,1,success,-1.8,93.876,-40.0,0.668,5008.7,1,0,1,0,0,1,0,1,0.9532790811946589
80,retired,married,basic.4y,no,no,no,cellular,may,mon,1,3,3,success,-1.8,93.876,-40.0,0.697,5008.7,1,0,1,0,1,1,1,1,0.95290253703285
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0,1,1,0,1,0,1,0.9522855523844627
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,1,0,1,1,0,1,0,1,0.9517824839413381
56,retired,married,high.school,no,no,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,1,0,1,0,1,1,1,1,0.951532153701944
30,admin.,single,university.degree,no,no,no,cellular,jul,tue,1,3,2,success,-1.7,94.215,-40.3,0.797,4991.6,1,0,1,0,0,1,0,1,0.951066049444234
37,unemployed,single,university.degree,no,yes,no,cellular,jun,thu,2,6,1,success,-1.7,94.055,-39.8,0.742,4991.6,1,0,1,1,0,1,0,1,0.9505583936840435
27,student,single,university.degree,no,no,no,cellular,aug,wed,1,3,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,0,1,0,0,1,1,1,0.9503941610357164
30,technician,single,professional.course,no,no,no,cellular,sep,tue,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,1,0,1,0,0,1,0,1,0.9503389172530282
44,services,divorced,basic.6y,no,yes,no,cellular,aug,wed,3,0,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,0,1,1,0,1,1,1,0.9495624727175518
56,retired,married,professional.course,no,unknown,unknown,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,0,1,0,1,1,1,1,0.9491262419328127
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0,1,0,1,1,1,1,0.9490477666299492
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0,1,1,1,1,1,1,0.948966646808644
37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,5,5,success,-1.1,94.601,-49.5,1.025,4963.6,1,0,1,1,1,1,1,1,0.948872494276355
26,student,single,high.school,no,yes,yes,cellular,apr,fri,1,6,2,success,-1.8,93.749,-34.6,0.645,5008.7,1,0,1,1,0,0,1,1,0.9462070634128845
60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,1,0,1,1,1,1,0,1,0.9458749342549535
30,student,single,unknown,no,no,no,cellular,mar,thu,1,14,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,0,1,0,0,1,1,1,0.9450963438909838
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,13,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0,1,0,1,1,1,1,0.9446547401259575
29,admin.,married,university.degree,no,unknown,unknown,cellular,jul,tue,1,3,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0,1,0,1,1,1,1,0.9425521954426196
79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9424523549317709
37,technician,married,professional.course,no,yes,yes,cellular,mar,wed,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,1,0,1,1,1,1,0,1,0.9420893786045168
36,blue-collar,single,high.school,no,yes,yes,cellular,jun,wed,2,3,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,0,1,1,0,1,1,1,0.9414009019056461
21,student,single,high.school,no,yes,no,cellular,aug,tue,3,9,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0,1,1,0,1,1,1,0.9409262285495023
45,admin.,divorced,university.degree,no,no,yes,cellular,jun,wed,1,3,2,success,-1.7,94.055,-39.8,0.739,4991.6,1,0,1,1,0,1,0,1,0.9397960020155598
26,technician,single,university.degree,no,no,no,cellular,jul,fri,2,6,1,success,-1.7,94.215,-40.3,0.861,4991.6,1,0,1,0,0,0,0,1,0.9389356291727344
65,management,married,unknown,no,no,no,cellular,dec,wed,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,0,1,0,1,1,1,1,0.938873290924567
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,0,1,1,0,0,1,1,0.9385087625540045
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6,1,0,1,0,1,1,0,1,0.9384681175089262
46,technician,married,professional.course,no,no,yes,cellular,apr,tue,1,5,2,success,-1.8,93.749,-34.6,0.638,5008.7,1,0,1,1,1,1,1,1,0.9375611403836293
34,technician,married,professional.course,no,yes,no,cellular,oct,wed,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0,1,1,1,1,1,1,0.9370054825191226
36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,0,1,1,1,1,1,1,0.9348892989642608
26,admin.,married,high.school,no,yes,no,cellular,nov,fri,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0,1,1,1,0,1,1,0.933758989343138
61,management,married,university.degree,no,yes,no,cellular,nov,tue,1,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9327484058737483
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,1,0,1,1,0,1,1,1,0.9326491732617874
29,admin.,single,high.school,no,yes,no,cellular,nov,fri,2,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0,1,1,0,0,1,1,0.9321442144418559
52,admin.,married,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.677,5008.7,0,1,0,1,1,1,0,1,0.9321105607130814
24,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,5,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,0,1,1,0,0,0,1,0.9318213789129767
62,retired,married,university.degree,no,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0,1,0,1,1,1,1,0.9311432007083025
29,admin.,married,high.school,no,yes,no,cellular,jun,tue,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6,1,0,1,1,1,1,1,1,0.9310019694677862
33,admin.,single,university.degree,no,no,no,cellular,mar,mon,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,0,1,0,0,1,1,1,0.9305337123060801
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,1,0,1,0,0,1,0,1,0.9283545776459151
60,self-employed,divorced,university.degree,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.755,5017.5,1,0,1,0,0,1,1,1,0.9276284324939755
33,student,married,professional.course,no,yes,no,cellular,aug,mon,3,3,4,success,-1.7,94.027,-38.3,0.896,4991.6,1,0,1,1,1,1,1,1,0.9270530698654028
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0,1,1,1,1,1,1,0.9269067810335453
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,1,0,1,1,1,1,0,1,0.9268542253333152
36,management,married,university.degree,no,no,no,cellular,jun,tue,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0,1,0,1,1,1,1,0.9267023175657673
46,admin.,married,university.degree,no,yes,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,93.369,-34.8,0.65,5008.7,0,1,0,1,1,1,1,1,0.9263069207075341
30,admin.,married,university.degree,no,no,yes,cellular,may,mon,2,9,2,success,-1.8,93.876,-40.0,0.701,5008.7,1,0,1,1,1,1,0,1,0.9261409479225666
37,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,3,9,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,0,1,0,0,1,1,1,0.9255965760283543
48,admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2,1,0,1,1,0,0,0,1,0.9254568236195857
23,student,single,university.degree,no,yes,no,cellular,dec,fri,2,6,2,success,-3.0,92.713,-33.0,0.718,5023.5,1,0,1,1,0,0,0,1,0.924516249798232
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,1,0,1,1,1,0,1,1,0.9240703413193738
25,admin.,single,university.degree,no,yes,no,cellular,sep,thu,1,1,1,success,-3.4,92.379,-29.8,0.809,5017.5,1,0,1,1,0,1,0,1,0.9236595658907533
29,management,married,university.degree,no,yes,no,cellular,nov,wed,1,9,1,success,-3.4,92.649,-30.1,0.719,5017.5,1,0,1,1,1,1,0,1,0.9222778162170249
37,admin.,married,high.school,no,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,0,1,1,1,1,0,1,0.9221608551796586
36,housemaid,single,university.degree,no,unknown,unknown,cellular,aug,fri,2,3,1,success,-2.9,92.201,-31.4,0.825,5076.2,1,0,1,0,0,0,0,1,0.92181093783618
31,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,0,1,1,1,1,1,1,0.920795305380905
56,admin.,married,university.degree,no,yes,no,cellular,sep,thu,2,3,2,success,-3.4,92.379,-29.8,0.778,5017.5,1,0,1,1,1,1,1,1,0.9205481572726794
73,retired,married,basic.4y,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,0,1,0,1,1,1,1,1,0.9200256226737311
30,technician,married,university.degree,no,yes,no,cellular,dec,thu,2,6,1,success,-3.0,92.713,-33.0,0.72,5023.5,1,0,1,1,1,1,1,1,0.9199849853026139
35,blue-collar,married,basic.9y,no,yes,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.707,5023.5,1,0,1,1,1,1,0,1,0.9191743082515967
47,technician,married,basic.6y,no,no,no,cellular,sep,mon,2,6,3,success,-1.1,94.199,-37.5,0.882,4963.6,1,0,1,0,1,1,0,1,0.9183017871021473
37,technician,married,professional.course,no,no,no,cellular,apr,thu,1,18,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,0,1,0,1,1,1,1,0.9178177605408985
27,admin.,married,university.degree,no,yes,no,cellular,aug,tue,5,12,1,success,-1.7,94.027,-38.3,0.886,4991.6,1,0,1,1,1,1,1,1,0.9169300328029469
34,technician,single,basic.9y,no,no,no,cellular,aug,mon,3,6,3,success,-1.7,94.027,-38.3,0.896,4991.6,1,0,1,0,0,1,1,1,0.9169264227157278
29,admin.,single,university.degree,no,yes,no,telephone,jun,wed,2,3,1,success,-1.7,94.055,-39.8,0.715,4991.6,1,0,1,1,0,1,0,1,0.9166955991882046
32,admin.,single,university.degree,no,no,no,cellular,jun,tue,1,12,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,0,1,0,0,1,1,1,0.9161044258634281
60,unemployed,married,basic.4y,no,no,no,cellular,nov,thu,2,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0,1,0,1,1,1,1,0.9157268617275682
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,0,1,0,1,0,1,0,1,0.9154041631152345
31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,0,1,0,0,1,1,1,0.9150446289429973
33,management,married,university.degree,no,no,no,telephone,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0,1,0,1,1,1,1,0.9149085871692775
34,admin.,married,high.school,no,no,yes,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,0,1,0,1,1,1,0,1,0.9144523856018638
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,1,0,1,0,0,1,1,1,0.9143183504156275
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,3,4,2,success,-1.1,94.767,-50.8,1.035,4963.6,1,0,1,1,0,1,1,1,0.9136748862109377
52,admin.,married,professional.course,no,no,no,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,0,1,0,0,1,1,1,1,0.9125568408906688
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,0,1,0,1,0,1,1,1,0.9109399051030158
40,services,married,professional.course,no,yes,no,cellular,oct,thu,1,3,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,0,1,1,1,1,1,1,0.9106201499126645
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0,1,0,1,1,1,1,0.9105535640454404
37,admin.,married,university.degree,no,unknown,unknown,cellular,jun,fri,1,10,1,success,-1.7,94.055,-39.8,0.719,4991.6,1,0,1,0,1,0,1,1,0.9102766692660613
25,admin.,single,university.degree,no,yes,yes,cellular,jun,tue,3,4,1,success,-2.9,92.963,-40.8,1.286,5076.2,1,0,1,1,0,1,0,1,0.9100734224620182
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,0,1,0,1,1,1,1,0.9099027939597758
41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,0,1,0,1,1,0,1,1,0.9094009961741014
27,unknown,single,university.degree,no,yes,no,cellular,jun,wed,4,3,2,success,-1.7,94.055,-39.8,0.767,4991.6,1,0,1,1,0,1,1,1,0.9093602983998649
50,management,married,university.degree,no,yes,no,cellular,oct,thu,2,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,0,1,1,1,1,1,1,0.9093119079697228
34,technician,single,unknown,no,yes,no,cellular,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,0,1,1,0,1,1,1,0.9090780845667514
35,technician,single,professional.course,no,yes,no,cellular,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.713,4991.6,1,0,1,1,0,1,1,1,0.9084546806778139
37,admin.,married,high.school,no,yes,no,cellular,jul,thu,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,0,1,0,1,1,1,0,1,0.9081222712425334
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,0,1,0,1,0,1,1,1,0.9069631404211672
52,admin.,married,professional.course,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.893,4991.6,0,1,0,0,1,1,1,1,0.9069395893587691
30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,2,16,1,success,-1.1,94.601,-49.5,0.942,4963.6,1,0,1,0,0,0,0,1,0.9068886983207485
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,0,1,1,0,1,1,1,0.9045242790117451
26,admin.,single,university.degree,no,no,yes,cellular,jun,fri,2,6,1,success,-1.7,94.055,-39.8,0.732,4991.6,1,0,1,1,0,0,0,1,0.9040315114855123
43,self-employed,married,university.degree,no,yes,no,cellular,mar,mon,2,9,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0,1,1,1,1,1,1,0.9039748680304639
53,housemaid,married,basic.4y,no,no,yes,telephone,nov,wed,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9035933543212112
53,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,0,1,0,0,1,1,1,0.9026103568843427
66,management,divorced,university.degree,no,no,no,cellular,sep,tue,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,0,1,0,0,1,1,1,0.9015897000908205
48,unemployed,single,basic.9y,no,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,0,1,1,0,1,1,1,0.9007405308073047
83,retired,married,high.school,no,no,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.72,5023.5,1,0,1,0,1,1,1,1,0.8994258897668344
45,admin.,married,university.degree,no,no,no,cellular,sep,mon,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,1,0,1,0,1,1,1,1,0.8990328497927149
43,admin.,married,high.school,no,yes,no,cellular,dec,tue,4,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,0,1,1,1,1,0,1,0.8985535345927793
28,services,single,basic.6y,no,no,no,cellular,jun,wed,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0,1,0,0,1,1,1,0.89854904346689
25,technician,single,university.degree,no,yes,no,cellular,jun,fri,2,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,1,0,1,1,0,0,0,1,0.8974950024251409
56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,1,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,0,1,0,0,1,1,1,0.8974254104016911
25,services,single,unknown,no,yes,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.702,4991.6,1,0,1,1,0,1,1,1,0.8973845679488984
30,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,1,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,1,0,1,1,0,1,0,1,0.8967818475970941
35,admin.,single,university.degree,no,yes,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,0,1,0,1,0,1,1,1,0.8958620775517727
28,student,single,university.degree,no,unknown,unknown,cellular,may,fri,2,999,0,nonexistent,-1.8,93.876,-40.0,0.695,5008.7,0,1,0,0,0,0,1,1,0.8957542059670027
25,services,single,high.school,no,yes,no,cellular,jun,thu,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0,1,1,0,1,1,1,0.8954116712249907
40,blue-collar,divorced,professional.course,no,no,no,cellular,jun,wed,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,0,1,0,0,1,1,1,0.8947596999209726
25,admin.,single,university.degree,no,yes,no,cellular,aug,mon,1,6,1,success,-2.9,92.201,-31.4,0.861,5076.2,1,0,1,1,0,1,1,1,0.8943452521920137
66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0,1,0,1,1,1,1,0.8937667050529972
