age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,actual,predicted,propensity_score
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,1,0.9711795626497615
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,1,0.9708999962950279
52,management,married,university.degree,no,yes,no,cellular,may,fri,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,1,1,0.9701305541734067
29,admin.,single,high.school,no,yes,no,cellular,sep,thu,1,6,2,success,-1.1,94.199,-37.5,0.879,4963.6,1,1,0.9697176489319829
60,retired,married,university.degree,no,no,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,1,1,0.9687157562711494
50,admin.,single,university.degree,no,no,no,cellular,aug,tue,1,6,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,1,0.9685042170248415
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,1,0.9682498815235276
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,1,0.9679516339131734
40,technician,married,professional.course,no,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,1,0.9667023876122492
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,1,0.9665139393522773
31,admin.,single,university.degree,no,yes,no,cellular,jul,fri,2,13,2,success,-1.7,94.215,-40.3,0.861,4991.6,1,1,0.9654051142143644
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,0,1,0.9652367958241392
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,1,0.964710868311237
37,admin.,single,high.school,no,no,no,cellular,mar,wed,2,4,2,success,-1.8,93.369,-34.8,0.655,5008.7,1,1,0.9644486090007592
21,student,single,basic.9y,no,no,no,cellular,mar,wed,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,1,0.9644161953410613
44,services,divorced,basic.6y,no,yes,no,cellular,aug,wed,3,0,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,1,0.963450394390973
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,15,1,success,-1.7,94.215,-40.3,0.846,4991.6,0,1,0.9611358246805786
35,admin.,married,university.degree,no,no,no,cellular,jul,mon,2,3,4,success,-1.7,94.215,-40.3,0.889,4991.6,0,1,0.9606068706007193
59,retired,married,professional.course,no,yes,no,cellular,aug,fri,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,1,0.9594240456829788
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,1,0.9580492565329523
45,admin.,divorced,university.degree,no,no,yes,cellular,jun,wed,1,3,2,success,-1.7,94.055,-39.8,0.739,4991.6,0,1,0.9572525385690399
52,management,married,university.degree,no,no,no,cellular,may,fri,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,1,1,0.9570364869075207
30,technician,single,professional.course,no,no,no,cellular,sep,tue,1,6,1,success,-1.1,94.199,-37.5,0.877,4963.6,0,1,0.9567651853314656
52,technician,married,university.degree,no,no,no,cellular,may,thu,1,3,4,success,-1.8,93.876,-40.0,0.677,5008.7,1,1,0.9563348277174495
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,1,0.9558231526532512
30,admin.,single,university.degree,no,no,no,cellular,jul,tue,1,3,2,success,-1.7,94.215,-40.3,0.797,4991.6,0,1,0.9552543187950584
30,admin.,single,university.degree,no,yes,no,cellular,jul,tue,2,3,1,success,-1.7,94.215,-40.3,0.797,4991.6,0,1,0.954632919828935
33,admin.,married,university.degree,no,yes,no,cellular,may,mon,1,3,2,success,-1.8,93.876,-40.0,0.685,5008.7,1,1,0.9540469165978042
52,admin.,married,university.degree,no,no,no,cellular,may,thu,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,1,1,0.9539985385506589
23,student,single,professional.course,no,yes,no,cellular,sep,wed,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,1,0.9537810060905306
37,unemployed,single,university.degree,no,yes,no,cellular,jun,thu,2,6,1,success,-1.7,94.055,-39.8,0.742,4991.6,0,1,0.9537243097719729
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,1,0.9535854396459817
27,student,single,university.degree,no,no,no,cellular,aug,wed,1,3,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,1,0.9515213494093588
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,1,0.9514368962129274
34,admin.,single,university.degree,no,no,no,cellular,nov,thu,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,1,0.949992255574581
26,technician,single,university.degree,no,no,no,cellular,jul,fri,2,6,1,success,-1.7,94.215,-40.3,0.861,4991.6,0,1,0.9499705782954352
78,retired,married,unknown,no,no,no,cellular,mar,thu,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,1,1,0.9494660020475101
33,admin.,single,university.degree,no,no,no,cellular,mar,mon,1,6,2,success,-1.8,93.369,-34.8,0.646,5008.7,1,1,0.9482807631580831
92,retired,married,unknown,no,yes,no,cellular,may,thu,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,0,1,0.9481122571907004
20,student,single,basic.9y,no,yes,no,cellular,jul,thu,3,6,3,success,-1.7,94.215,-40.3,0.846,4991.6,1,1,0.9474020792754883
24,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,5,6,2,success,-1.7,94.027,-38.3,0.905,4991.6,0,1,0.9438515601261372
30,admin.,single,university.degree,no,no,no,cellular,may,tue,1,6,1,success,-1.8,93.876,-40.0,0.668,5008.7,0,1,0.9427221631068631
59,retired,divorced,basic.4y,no,yes,yes,cellular,jul,mon,1,6,1,success,-1.7,94.215,-40.3,0.827,4991.6,1,1,0.9424338510892042
33,admin.,single,university.degree,no,yes,no,cellular,apr,thu,1,7,2,success,-1.8,93.749,-34.6,0.635,5008.7,1,1,0.9418347238151524
47,management,married,university.degree,no,yes,no,cellular,aug,mon,3,3,2,success,-1.7,94.027,-38.3,0.904,4991.6,0,1,0.9416161175978242
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9415132112014455
25,admin.,single,university.degree,no,yes,no,cellular,sep,thu,1,1,1,success,-3.4,92.379,-29.8,0.809,5017.5,0,1,0.9414133201987149
72,retired,married,basic.4y,no,no,yes,cellular,jul,fri,4,8,1,success,-1.7,94.215,-40.3,0.822,4991.6,1,1,0.9413379780510254
30,admin.,married,university.degree,no,no,yes,cellular,may,mon,2,9,2,success,-1.8,93.876,-40.0,0.701,5008.7,0,1,0.9404316551331595
60,retired,married,professional.course,no,yes,yes,cellular,jul,thu,4,6,2,success,-1.7,94.215,-40.3,0.899,4991.6,0,1,0.9403053968398503
36,blue-collar,single,high.school,no,yes,yes,cellular,jun,wed,2,3,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,1,0.9395183547867942
47,technician,married,basic.6y,no,no,no,cellular,sep,mon,2,6,3,success,-1.1,94.199,-37.5,0.882,4963.6,0,1,0.939129590320149
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9385551405355649
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,13,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,1,0.9377731704209166
26,admin.,single,university.degree,no,no,yes,cellular,jun,fri,2,6,1,success,-1.7,94.055,-39.8,0.732,4991.6,0,1,0.9370678512033744
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,thu,1,10,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,1,0.9370118498690512
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,3,1,success,-1.8,93.369,-34.8,0.639,5008.7,1,1,0.9364936126354192
20,student,single,unknown,no,no,no,cellular,may,tue,2,3,5,success,-1.8,93.876,-40.0,0.697,5008.7,1,1,0.9358158355655547
36,management,married,university.degree,no,no,no,cellular,jun,tue,1,3,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,1,0.9357851863892078
80,retired,married,basic.4y,no,no,no,cellular,may,mon,1,3,3,success,-1.8,93.876,-40.0,0.697,5008.7,1,1,0.9332436199747676
27,admin.,married,university.degree,no,yes,no,cellular,aug,tue,5,12,1,success,-1.7,94.027,-38.3,0.886,4991.6,1,1,0.9324211994665678
65,management,married,unknown,no,no,no,cellular,dec,wed,2,9,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,1,0.9323830786624628
29,admin.,married,university.degree,no,unknown,unknown,cellular,jul,tue,1,3,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,1,0.9311237240688979
92,retired,married,unknown,no,no,yes,cellular,aug,wed,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,1,0.9306884076514017
23,student,single,university.degree,no,yes,no,cellular,dec,fri,2,6,2,success,-3.0,92.713,-33.0,0.718,5023.5,0,1,0.930258868231998
37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,5,5,success,-1.1,94.601,-49.5,1.025,4963.6,1,1,0.9289209044525305
43,self-employed,married,university.degree,no,yes,no,cellular,mar,mon,2,9,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,1,0.9287263158489778
60,self-employed,divorced,university.degree,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.755,5017.5,1,1,0.9285731634213351
36,unemployed,married,high.school,no,yes,no,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,1,0.9279899534561323
21,student,single,high.school,no,yes,no,cellular,aug,tue,3,9,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,1,0.9268223197332515
38,admin.,married,university.degree,no,yes,no,cellular,nov,tue,1,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9267806889871973
32,admin.,single,university.degree,no,no,no,cellular,jun,tue,1,12,2,success,-1.7,94.055,-39.8,0.737,4991.6,1,1,0.9264443127139965
56,technician,married,basic.4y,no,no,no,cellular,oct,thu,3,3,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,1,0.9263463734679344
37,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,3,9,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,1,0.9260556617380616
37,admin.,married,university.degree,no,unknown,unknown,cellular,jun,fri,1,10,1,success,-1.7,94.055,-39.8,0.719,4991.6,1,1,0.9260180638666061
56,retired,married,high.school,no,no,no,cellular,jun,tue,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,1,1,0.9252750403367759
46,technician,married,professional.course,no,no,yes,cellular,apr,tue,1,5,2,success,-1.8,93.749,-34.6,0.638,5008.7,1,1,0.9237464389185627
25,admin.,single,university.degree,no,yes,no,cellular,aug,mon,1,6,1,success,-2.9,92.201,-31.4,0.861,5076.2,1,1,0.9236721881200431
61,management,married,university.degree,no,yes,no,cellular,nov,tue,1,7,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9226132742948826
29,admin.,married,high.school,no,yes,no,cellular,jun,tue,2,13,1,success,-1.7,94.055,-39.8,0.723,4991.6,1,1,0.9225132586180165
30,technician,married,university.degree,no,yes,no,cellular,dec,thu,2,6,1,success,-3.0,92.713,-33.0,0.72,5023.5,1,1,0.9221887851192072
56,admin.,married,university.degree,no,yes,no,cellular,sep,thu,2,3,2,success,-3.4,92.379,-29.8,0.778,5017.5,1,1,0.9216713028924752
25,admin.,single,university.degree,no,no,yes,cellular,nov,mon,1,3,2,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9216281198043981
26,student,single,high.school,no,yes,yes,cellular,apr,fri,1,6,2,success,-1.8,93.749,-34.6,0.645,5008.7,1,1,0.9213002216803118
34,technician,married,professional.course,no,yes,no,cellular,oct,wed,2,8,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,1,0.9211689161613988
92,retired,married,unknown,no,no,yes,cellular,aug,tue,1,3,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,1,0.9206822759583672
35,technician,single,professional.course,no,yes,no,cellular,jun,tue,1,6,2,success,-1.7,94.055,-39.8,0.713,4991.6,1,1,0.9205603386252479
56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,1,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,1,0.9193707240980209
62,retired,married,university.degree,no,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,1,0.9192264742596583
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,3,4,2,success,-1.1,94.767,-50.8,1.035,4963.6,1,1,0.9190584530139145
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,0,1,0.9189229645443671
56,retired,married,professional.course,no,unknown,unknown,cellular,oct,thu,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,1,1,0.9178468203020113
26,admin.,married,high.school,no,yes,no,cellular,nov,fri,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,1,0.9170101278489331
30,student,single,unknown,no,no,no,cellular,mar,thu,1,14,1,success,-1.8,93.369,-34.8,0.635,5008.7,1,1,0.9167157540023599
79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.9164514614545787
38,entrepreneur,married,basic.6y,no,no,no,cellular,jun,tue,1,2,3,success,-1.7,94.055,-39.8,0.761,4991.6,1,1,0.916080286520025
27,unknown,single,university.degree,no,yes,no,cellular,jun,wed,4,3,2,success,-1.7,94.055,-39.8,0.767,4991.6,1,1,0.9156665758110616
34,technician,single,basic.9y,no,no,no,cellular,aug,mon,3,6,3,success,-1.7,94.027,-38.3,0.896,4991.6,1,1,0.9149716741321704
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,1,0.9149158088562723
37,technician,married,professional.course,no,no,no,cellular,apr,thu,1,18,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,1,0.9147155315316116
33,student,married,professional.course,no,yes,no,cellular,aug,mon,3,3,4,success,-1.7,94.027,-38.3,0.896,4991.6,1,1,0.9145342003970203
29,admin.,single,high.school,no,yes,no,cellular,nov,fri,2,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,1,0.9140209252017526
37,technician,married,professional.course,no,yes,yes,cellular,mar,wed,1,9,1,success,-1.8,93.369,-34.8,0.644,5008.7,0,1,0.9128508949476191
73,retired,married,basic.4y,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,1,1,0.9122517208040017
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,0,1,0.9117195329529728
66,management,divorced,university.degree,no,no,no,cellular,sep,tue,1,1,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,1,0.9113162028007481
30,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,1,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,0,1,0.9112641876231363
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,1,1,0.9095088964829978
29,management,married,university.degree,no,yes,no,cellular,nov,wed,1,9,1,success,-3.4,92.649,-30.1,0.719,5017.5,0,1,0.9091028952625841
25,services,single,unknown,no,yes,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.702,4991.6,1,1,0.9071505768911827
60,unemployed,married,basic.4y,no,no,no,cellular,nov,thu,2,6,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,1,0.9070627238427074
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,1,0.9062436820537154
35,blue-collar,married,basic.9y,no,yes,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.707,5023.5,0,1,0.9044697200897884
45,admin.,married,university.degree,no,no,no,cellular,sep,mon,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,1,1,0.9034175516489722
34,admin.,single,university.degree,no,no,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,1,1,0.9031114281609643
25,admin.,single,university.degree,no,yes,yes,cellular,jun,tue,3,4,1,success,-2.9,92.963,-40.8,1.286,5076.2,0,1,0.902704686099563
34,technician,single,unknown,no,yes,no,cellular,aug,thu,2,3,1,success,-2.9,92.201,-31.4,0.851,5076.2,1,1,0.9022178136345018
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,6,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,1,0.9022047688841373
34,admin.,divorced,high.school,no,no,no,cellular,nov,tue,2,6,3,success,-3.4,92.649,-30.1,0.716,5017.5,0,1,0.9015052247262
41,technician,married,professional.course,no,no,no,cellular,nov,mon,2,6,1,success,-1.1,94.767,-50.8,1.039,4963.6,1,1,0.9011696160519306
31,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,1,0.9006496743365489
70,admin.,married,basic.4y,no,yes,yes,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1,1,0.8997418966223867
22,student,single,basic.9y,no,no,no,cellular,oct,fri,2,6,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,1,0.8997046412865148
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,1,0.8974590986816124
31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,1,0.8950286916983703
37,admin.,married,high.school,no,yes,no,cellular,jul,thu,2,999,0,nonexistent,-1.7,94.215,-40.3,0.81,4991.6,0,1,0.8945805857465767
27,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.637,5008.7,1,1,0.8936745351345844
52,admin.,married,professional.course,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.893,4991.6,1,1,0.8925217631379186
83,retired,married,high.school,no,no,no,cellular,dec,thu,1,4,3,success,-3.0,92.713,-33.0,0.72,5023.5,1,1,0.8912757786867433
60,retired,married,professional.course,no,yes,no,cellular,sep,thu,1,3,1,success,-3.4,92.379,-29.8,0.809,5017.5,1,1,0.8909429947950475
28,services,single,basic.6y,no,no,no,cellular,jun,wed,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,1,0.8905690884671854
50,management,married,university.degree,no,yes,no,cellular,oct,thu,2,4,1,success,-3.4,92.431,-26.9,0.754,5017.5,1,1,0.8901240272301056
46,admin.,married,university.degree,no,yes,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,93.369,-34.8,0.65,5008.7,1,1,0.8891762786163028
43,admin.,married,high.school,no,yes,no,cellular,dec,tue,4,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,0,1,0.8869694868157322
41,admin.,married,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,1,1,0.8863403490509378
52,admin.,married,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,93.876,-40.0,0.677,5008.7,0,1,0.8852869473481456
30,technician,unknown,university.degree,no,no,no,cellular,oct,fri,2,16,1,success,-1.1,94.601,-49.5,0.942,4963.6,0,1,0.8852339556775033
37,admin.,married,university.degree,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-1.1,94.767,-50.8,1.04,4963.6,1,1,0.8851683555588045
34,admin.,single,university.degree,no,no,no,telephone,oct,tue,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1,1,0.8850884216568581
22,student,single,high.school,no,no,no,cellular,oct,fri,3,6,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,1,0.8843380007694804
21,admin.,single,university.degree,no,yes,no,cellular,aug,mon,2,4,1,success,-2.9,92.201,-31.4,0.884,5076.2,0,1,0.8832342130868817
48,admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2,0,1,0.8831108110616772
34,admin.,married,high.school,no,no,yes,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,0,1,0.8828403162847468
35,technician,married,professional.course,no,yes,no,cellular,sep,thu,2,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,0,1,0.8827076013790649
61,retired,married,high.school,no,yes,no,cellular,sep,wed,1,3,1,success,-3.4,92.379,-29.8,0.753,5017.5,1,1,0.8807005846187846
53,housemaid,married,basic.4y,no,no,yes,telephone,nov,wed,1,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,1,0.8805399501059952
41,admin.,single,high.school,no,yes,no,cellular,aug,mon,1,6,1,success,-2.9,92.201,-31.4,0.861,5076.2,1,1,0.880053761378843
40,services,married,professional.course,no,yes,no,cellular,oct,thu,1,3,1,success,-3.4,92.431,-26.9,0.74,5017.5,1,1,0.8799796534536611
77,retired,married,university.degree,no,yes,no,telephone,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,1,0.8788454291144338
66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,1,0.8786669372282754
26,admin.,single,high.school,no,no,no,telephone,oct,fri,2,4,1,success,-3.4,92.431,-26.9,0.73,5017.5,1,1,0.876926233913604
42,blue-collar,married,basic.6y,no,yes,yes,cellular,mar,tue,1,7,3,failure,-1.8,93.369,-34.8,0.652,5008.7,1,1,0.8765347009983036
52,admin.,married,professional.course,no,no,no,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,1,1,0.8764411105115919
28,student,single,university.degree,no,unknown,unknown,cellular,may,fri,2,999,0,nonexistent,-1.8,93.876,-40.0,0.695,5008.7,1,1,0.875408944534054
74,retired,divorced,basic.4y,no,yes,yes,cellular,jul,wed,2,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,0,1,0.8750120926949261
63,housemaid,married,basic.4y,no,yes,no,cellular,sep,wed,1,3,1,success,-3.4,92.379,-29.8,0.749,5017.5,1,1,0.8746025421772518
24,student,single,high.school,no,no,no,cellular,jun,wed,6,6,1,success,-1.7,94.055,-39.8,0.727,4991.6,1,1,0.8745864286595912
28,management,single,university.degree,no,yes,no,cellular,jun,thu,1,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,1,0.8738830091640117
51,admin.,divorced,high.school,no,yes,no,cellular,aug,tue,1,6,1,success,-2.9,92.201,-31.4,0.838,5076.2,1,1,0.8737274763821549
45,unemployed,married,high.school,no,no,no,cellular,sep,wed,2,999,0,nonexistent,-1.1,94.199,-37.5,0.88,4963.6,1,1,0.8735271782926379
29,blue-collar,single,professional.course,no,yes,yes,cellular,mar,tue,1,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,1,1,0.8730235024235387
27,student,single,basic.9y,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,0,1,0.872636474539361
53,admin.,single,university.degree,no,no,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,1,1,0.8720693279127785
25,services,single,high.school,no,yes,no,cellular,jun,thu,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,1,0.8714088324156914
49,admin.,married,high.school,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,1,1,0.8713151991421735
36,housemaid,single,university.degree,no,unknown,unknown,cellular,aug,fri,2,3,1,success,-2.9,92.201,-31.4,0.825,5076.2,0,1,0.8707707327586718
37,management,married,high.school,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,1,1,0.8700296822007922
28,technician,single,high.school,no,unknown,unknown,cellular,oct,wed,1,6,1,success,-3.4,92.431,-26.9,0.742,5017.5,1,1,0.8687047196681437
37,admin.,married,high.school,no,yes,no,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,0,1,0.8680457259473535
53,admin.,divorced,university.degree,no,no,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,93.369,-34.8,0.654,5008.7,1,1,0.8678921388313421
85,retired,divorced,basic.4y,unknown,yes,no,cellular,dec,mon,3,6,1,success,-3.0,92.713,-33.0,0.715,5023.5,1,1,0.8677360588247603
56,management,married,professional.course,no,no,no,cellular,dec,wed,1,999,0,nonexistent,-3.0,92.713,-33.0,0.715,5023.5,0,1,0.8670906538945323
40,technician,single,university.degree,no,yes,no,cellular,nov,mon,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,0,1,0.8659277463869556
25,admin.,single,university.degree,no,no,no,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,1,1,0.8657678485670647
